epoch,train_loss,train_acc,test_loss,test_acc
1,1.893242142250808,0.2996641074856046,1.6172844464786518,0.4126397763578275
2,1.612357326142695,0.4084492962252079,1.3898206435072535,0.49001597444089456
3,1.4617998505431875,0.46867002559181065,1.296461816222523,0.5277555910543131
4,1.3580380896307762,0.5066978566858605,1.1765847402258802,0.5713857827476039
5,1.277091507681348,0.539427383237364,1.156377262010361,0.5818690095846646
6,1.2187266894738338,0.5608405310300704,1.0899418603878814,0.6110223642172524
7,1.1629501027475162,0.5826135636596289,1.0035879570074355,0.6362819488817891
8,1.1155854032273027,0.6006677863083814,0.9986924860424127,0.6374800319488818
9,1.0765351100144902,0.6124240243122201,0.9706327637163595,0.645167731629393
10,1.0378193526945279,0.6274592130518234,0.9203526590959713,0.6674321086261981
11,1.0073412921248683,0.6382957453614844,0.9214782057859646,0.6733226837060703
12,0.9730482844115066,0.650631797824696,0.9488512456607514,0.6668330670926518
13,0.9444836793385174,0.6614283429302623,0.8830647066759225,0.6867012779552716
14,0.9226164441610557,0.6690459053103007,0.866880277380014,0.6875
15,0.8903780832209803,0.6817818298144593,0.8569680956986766,0.6952875399361023
16,0.8641028537516859,0.6915387076135636,0.8654402251632068,0.6932907348242812
17,0.8409353805442537,0.6988763595649392,0.7929180652950518,0.716952875399361
18,0.8181394320684446,0.708313339731286,0.806573115313015,0.7140575079872205
19,0.7924493416257188,0.7163907549584133,0.8144304025858736,0.7154552715654952
20,0.7736340367061849,0.7237484005118362,0.8189979217494258,0.7160543130990416
21,0.7522117169675199,0.7322056941778631,0.799128055858155,0.724241214057508
22,0.7313572548363199,0.7393034229046705,0.8136599384748135,0.7172523961661342
23,0.7049150513824712,0.7479606525911708,0.789285309398517,0.7287340255591054
24,0.681774456914388,0.7595769353806782,0.7634402781058425,0.7307308306709265
25,0.6678342101708179,0.7620761356365963,0.7813842318023736,0.7369209265175719
26,0.6515143350558028,0.7663347728726807,0.8062730773378866,0.7237420127795527
27,0.631191090531099,0.7765914907229686,0.7674821719003562,0.7430111821086262
