epoch,train_loss,train_acc,test_loss,test_acc
1,1.893242142250808,0.2996641074856046,1.6172844464786518,0.4126397763578275
2,1.612357326142695,0.4084492962252079,1.3898206435072535,0.49001597444089456
3,1.4617998505431875,0.46867002559181065,1.296461816222523,0.5277555910543131
4,1.3580380896307762,0.5066978566858605,1.1765847402258802,0.5713857827476039
5,1.277091507681348,0.539427383237364,1.156377262010361,0.5818690095846646
6,1.2187266894738338,0.5608405310300704,1.0899418603878814,0.6110223642172524
7,1.1629501027475162,0.5826135636596289,1.0035879570074355,0.6362819488817891
8,1.1155854032273027,0.6006677863083814,0.9986924860424127,0.6374800319488818
9,1.0765351100144902,0.6124240243122201,0.9706327637163595,0.645167731629393
10,1.0378370743795458,0.6274392194497761,0.9202875398789732,0.667332268370607
11,1.0059850414594014,0.6379158669225847,0.9680444131644008,0.6539536741214057
12,0.9770502606722612,0.648712412028151,0.9012603441747232,0.6743210862619808
13,0.9459567094032229,0.6615682981445937,0.8521211763349966,0.6961861022364217
14,0.9203359271880532,0.6692058541266794,0.8616656553440581,0.6935902555910544
15,0.8931455954060826,0.682341650671785,0.8744833879767896,0.6900958466453674
16,0.8633903353853403,0.6918985924504159,0.810537157633815,0.7082667731629393
17,0.8446305577219562,0.698056621880998,0.7870965782826701,0.7220447284345048
18,0.8180520461105949,0.7084333013435701,0.8170088805710546,0.715055910543131
19,0.7957461477088684,0.7154710492642354,0.7982549632128816,0.7199480830670927
20,0.7721999723867049,0.7254278630838131,0.7920061296548325,0.7248402555910544
